like_deg_in,alcLeast_deg_in,alcMost_deg_in,closest_deg_in,influence_deg_in,leaders_deg_in,goToBad_deg_in,goToGood_deg_in,id
5,4,0,4,0,0,2,4,muri012
3,9,0,3,0,0,2,2,muri017
14,6,1,11,0,0,5,5,muri034
12,0,4,7,0,0,4,5,muri041
3,9,0,0,0,0,0,0,muri063
8,1,2,5,0,0,4,2,muri078
6,4,0,6,1,11,1,2,muri086
4,3,0,3,0,0,3,2,muri088
6,4,0,7,0,0,1,3,muri091
11,1,24,10,15,10,5,5,muri092
11,14,2,9,7,16,5,3,muri096
4,0,2,7,1,2,2,2,muri098
1,2,0,1,0,0,0,0,muri101
7,2,1,7,0,2,2,5,muri117
9,1,0,4,4,4,2,2,muri163
7,2,0,6,1,1,2,2,muri173
7,0,1,6,0,0,2,3,muri186
3,0,8,3,1,0,0,1,muri196
8,3,0,6,11,20,5,5,muri201
3,8,2,2,0,1,2,2,muri369
5,2,4,6,3,1,1,3,muri373
7,3,0,3,0,1,1,2,muri389
13,0,14,7,2,0,3,3,muri393
13,0,14,5,4,2,3,4,muri396
11,0,3,6,3,10,3,5,muri400
12,0,12,2,3,7,3,3,muri404
6,2,1,3,0,1,2,2,muri405
10,0,8,5,0,0,2,2,muri408
3,0,8,7,0,0,4,5,muri531
2,1,1,3,0,0,1,1,muri542
9,0,10,5,3,7,1,0,muric202
6,0,6,4,0,0,0,1,muric205
8,0,3,6,1,0,3,3,muric208
12,0,17,7,5,2,5,5,muric210
8,3,1,6,0,0,4,5,muric212
6,2,4,4,0,0,0,1,muric213
12,0,8,9,20,20,3,3,muric219
14,0,4,9,8,1,6,5,muric224
7,0,1,5,0,0,2,3,muric230
8,0,24,5,19,27,5,4,muric232
3,1,0,0,0,0,0,0,muric233
3,0,4,1,0,0,0,0,muric234
12,20,0,7,0,5,0,2,muric241
18,0,10,17,14,18,8,6,muric242
15,3,0,8,1,1,4,5,muric243
11,18,0,11,0,0,3,5,muric244
0,10,0,1,0,0,0,0,muric245
4,2,1,3,0,0,0,1,muric246
13,0,20,12,11,9,2,5,muric247
11,0,4,4,5,22,1,2,muric249
8,4,1,4,0,0,0,2,muric250
11,2,1,9,1,5,5,5,muric251
9,1,0,6,0,0,5,4,muric254
0,6,4,0,1,0,1,1,muric301
0,2,1,0,0,0,0,1,muric312
4,2,2,4,0,1,2,2,muric321
8,1,6,12,1,0,0,1,muric325
3,0,2,5,0,0,0,0,muric328
8,1,5,3,1,1,1,1,muric354
0,0,0,0,0,0,0,0,muric358
7,1,7,6,1,0,4,3,muric375
7,1,2,3,4,4,1,1,muric419
8,0,2,7,0,0,4,5,muric424
6,0,17,2,0,1,2,3,muric429
10,0,9,6,0,0,4,4,muric430
6,7,1,2,0,0,0,1,muric431
6,3,1,5,0,0,3,3,muric432
5,1,2,1,0,0,1,2,muric434
16,0,20,9,25,25,4,4,muric435
